time_iso8601,forks_cumulative
2024-07-06 00:00:00+00:00,43041
2024-07-07 00:00:00+00:00,43056
2024-07-08 00:00:00+00:00,43080
2024-07-09 00:00:00+00:00,43118
2024-07-10 00:00:00+00:00,43156
2024-07-11 00:00:00+00:00,43189
2024-07-12 00:00:00+00:00,43222
2024-07-13 00:00:00+00:00,43248
2024-07-14 00:00:00+00:00,43290
2024-07-15 00:00:00+00:00,43321
2024-07-16 00:00:00+00:00,43355
2024-07-17 00:00:00+00:00,43382
2024-07-18 00:00:00+00:00,43429
2024-07-19 00:00:00+00:00,43460
2024-07-20 00:00:00+00:00,43472
2024-07-21 00:00:00+00:00,43497
2024-07-22 00:00:00+00:00,43510
2024-07-23 00:00:00+00:00,43527
2024-07-24 00:00:00+00:00,43554
2024-07-25 00:00:00+00:00,43570
2024-07-26 00:00:00+00:00,43590
2024-07-27 00:00:00+00:00,43606
2024-07-28 00:00:00+00:00,43618
2024-07-29 00:00:00+00:00,43639
2024-07-30 00:00:00+00:00,43664
2024-07-31 00:00:00+00:00,43679
2024-08-01 00:00:00+00:00,43703
2024-08-02 00:00:00+00:00,43726
2024-08-03 00:00:00+00:00,43734
2024-08-04 00:00:00+00:00,43748
2024-08-05 00:00:00+00:00,43762
2024-08-06 00:00:00+00:00,43778
2024-08-07 00:00:00+00:00,43799
2024-08-08 00:00:00+00:00,43818
2024-08-09 00:00:00+00:00,43832
2024-08-10 00:00:00+00:00,43843
2024-08-11 00:00:00+00:00,43853
2024-08-12 00:00:00+00:00,43865
2024-08-13 00:00:00+00:00,43883
2024-08-14 00:00:00+00:00,43913
2024-08-15 00:00:00+00:00,43935
2024-08-16 00:00:00+00:00,43954
2024-08-17 00:00:00+00:00,43962
2024-08-18 00:00:00+00:00,43977
2024-08-19 00:00:00+00:00,43987
2024-08-20 00:00:00+00:00,44000
2024-08-21 00:00:00+00:00,44012
2024-08-22 00:00:00+00:00,44027
2024-08-23 00:00:00+00:00,44036
2024-08-24 00:00:00+00:00,44043
2024-08-25 00:00:00+00:00,44055
2024-08-26 00:00:00+00:00,44070
2024-08-27 00:00:00+00:00,44081
2024-08-28 00:00:00+00:00,44098
2024-08-29 00:00:00+00:00,44114
2024-08-30 00:00:00+00:00,44123
2024-08-31 00:00:00+00:00,44133
2024-09-01 00:00:00+00:00,44141
2024-09-02 00:00:00+00:00,44158
2024-09-03 00:00:00+00:00,44176
2024-09-04 00:00:00+00:00,44194
2024-09-05 00:00:00+00:00,44202
2024-09-06 00:00:00+00:00,44217
